trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code,subscriber_type
1173689,322,2016-04-22 17:27:00,Redwood City Caltrain Station,22,2016-04-22 17:32:00,Mezes,83,704,94063,Subscriber
937074,284,2015-09-18 17:07:00,Redwood City Caltrain Station,22,2015-09-18 17:12:00,Mezes,83,256,94063,Subscriber
1031642,267,2015-12-07 18:08:00,Redwood City Caltrain Station,22,2015-12-07 18:13:00,Mezes,83,131,94063,Subscriber
994547,240,2015-11-02 18:08:00,Redwood City Caltrain Station,22,2015-11-02 18:12:00,Mezes,83,52,94063,Subscriber
952654,284,2015-09-30 20:02:00,Redwood City Caltrain Station,22,2015-09-30 20:07:00,Mezes,83,131,94063,Subscriber
1111147,289,2016-03-01 15:01:00,Redwood City Caltrain Station,22,2016-03-01 15:06:00,Mezes,83,174,94107,Subscriber
1022219,289,2015-11-25 17:07:00,Redwood City Caltrain Station,22,2015-11-25 17:12:00,Mezes,83,704,94063,Subscriber
1193423,326,2016-05-09 17:31:00,Redwood City Caltrain Station,22,2016-05-09 17:37:00,Mezes,83,64,94063,Subscriber
1006032,264,2015-11-11 18:07:00,Redwood City Caltrain Station,22,2015-11-11 18:11:00,Mezes,83,182,94063,Subscriber
1151993,289,2016-04-06 17:35:00,Redwood City Caltrain Station,22,2016-04-06 17:40:00,Mezes,83,642,94063,Subscriber
1011555,502,2015-11-16 18:13:00,Redwood City Caltrain Station,22,2015-11-16 18:21:00,Mezes,83,35,94063,Subscriber
949971,201,2015-09-29 09:22:00,Redwood City Caltrain Station,22,2015-09-29 09:26:00,Mezes,83,93,94707,Subscriber
1078381,266,2016-02-01 18:09:00,Redwood City Caltrain Station,22,2016-02-01 18:13:00,Mezes,83,577,94063,Subscriber
1076369,284,2016-01-29 18:07:00,Redwood City Caltrain Station,22,2016-01-29 18:12:00,Mezes,83,577,94063,Subscriber
1162378,256,2016-04-14 17:07:00,Redwood City Caltrain Station,22,2016-04-14 17:11:00,Mezes,83,642,94063,Subscriber
939668,241,2015-09-21 17:33:00,Redwood City Caltrain Station,22,2015-09-21 17:37:00,Mezes,83,246,94063,Subscriber
1140228,315,2016-03-28 18:07:00,Redwood City Caltrain Station,22,2016-03-28 18:12:00,Mezes,83,185,94063,Subscriber
1182524,323,2016-04-29 17:10:00,Redwood City Caltrain Station,22,2016-04-29 17:15:00,Mezes,83,196,94063,Subscriber
942343,183,2015-09-23 09:29:00,Redwood City Caltrain Station,22,2015-09-23 09:32:00,Mezes,83,694,94707,Subscriber
1096812,288,2016-02-17 19:35:00,Redwood City Caltrain Station,22,2016-02-17 19:39:00,Mezes,83,127,94063,Subscriber
964797,257,2015-10-09 17:06:00,Redwood City Caltrain Station,22,2015-10-09 17:10:00,Mezes,83,655,94063,Subscriber
1128621,304,2016-03-17 18:07:00,Redwood City Caltrain Station,22,2016-03-17 18:12:00,Mezes,83,44,94063,Subscriber
981898,332,2015-10-22 17:32:00,Redwood City Caltrain Station,22,2015-10-22 17:37:00,Mezes,83,155,94063,Subscriber
944688,309,2015-09-24 17:10:00,Redwood City Caltrain Station,22,2015-09-24 17:15:00,Mezes,83,88,94063,Subscriber
1036836,343,2015-12-11 17:07:00,Redwood City Caltrain Station,22,2015-12-11 17:13:00,Mezes,83,84,94063,Subscriber
